categoria;descricao;titulo;valor_varejo;valor_atacado;valor_varejo_promocional;estoque_geral;estoque_maletas;peso;valor_custo;data_registro;cor_banho;imagem;tamanho_anel;cod_barras;genero;cor_pedra;variacao;tempo_garantia;fornecedor;codigo_fornecedor;preco_aluguel;loc_estoque;destaque;novos
Anel;REGULAVEL;Anel menino micro zircônia coração ;95.7;0;;1;0;0;31;01/08/2025 20:10;Ouro;https://natika.semijoias.net/assets/photos/natika-279-688dea96797e8.jpeg;0;20441517;;;;12;GAZIN;140010;0;;;
Anel;;Anel círculo vazado ;68.7;0;;0;0;0;22;01/08/2025 20:16;Ouro;https://natika.semijoias.net/assets/photos/natika-281-688dea59e5a6b.jpeg;13;20352196;;;;12;GAZIN;71795;0;;;
Anel;;Anel duplo dourado ;134.7;0;;0;0;0;49;01/08/2025 20:20;Ouro;https://natika.semijoias.net/assets/photos/natika-282-688dea2357641.jpeg;20;20547257;;;;12;GAZIN;143864;0;;;
Pingente;LETRA M;PINGENTE LETRA CRAVEJADA ;35.7;0;;0;0;0.5;6.69;22/07/2025 20:48;Ouro;https://natika.semijoias.net/assets/photos/natika-249-688bfbacc4a34.jpeg;0;20429027;;;;12;TANK BRUTOS;;0;;;
Conjunto;;CONJUNTO BOLA VAZADA;136.8;0;;2;0;4.8;37.76;22/07/2025 19:34;RodioBranco;https://natika.semijoias.net/assets/photos/natika-225-6884c9ad146ab.jpeg;0;20703868;;;;0;ALEXANDRE JOIAS;BR0511P PI0511 COR VEM;0;;;
Pulseira;PULSEIRA RIVIERA CORES;PULSEIRA RIVIERA CORES;80.7;80.7;;2;0;4.3;17.31;22/07/2025 19:45;RodioBranco;https://natika.semijoias.net/assets/photos/natika-228-68856412507bf.jpg;0;20890469;;Colorido;;12;SOPHIA BRUTOS;1344;0;;;
Brinco;;BRINCO CORAÇÃO COM ZIRCONIA;47.7;0;;0;0;0.7;11.61;21/07/2025 20:39;Ouro;https://natika.semijoias.net/assets/photos/natika-135-6884c25cd9e43.jpeg;0;20496500;;;;12;TANK BRUTOS;BF11-912;0;;;
Brinco;;BRINCO CORAÇÃO FRISADO ORGANICO;41.7;41.7;;0;0;1.3;10.73;21/07/2025 21:11;RodioBranco;https://natika.semijoias.net/assets/photos/natika-148-6883a4f400d73.jpeg;0;20236670;;;;12;TANK BRUTOS;BF13-341;0;;;
Brinco;;BRINCO CORAÇÃO FRISADO ORGANICO;41.7;0;;0;0;1.3;7.74;21/07/2025 20:44;Ouro;https://natika.semijoias.net/assets/photos/natika-137-6883a51ecd925.jpeg;0;20854652;;;;0;TANK BRUTOS;BF13-341;0;;;
Brinco;BRINCO DE CORAÇÃO LISO ABAULADO;BRINCO CORAÇÃO LISO ABAULADO ;62.7;62.7;;1;0;2.4;19.19;22/07/2025 06:39;RodioBranco;https://natika.semijoias.net/assets/photos/natika-188-6884fd8d42e98.jpeg;0;20770396;;;;12;TANK BRUTOS;BF13-344;0;;;
Brinco;;BRINCO PONTO DE LUZ;77.7;77.7;;1;0;0;26;22/07/2025 06:58;Ouro;https://natika.semijoias.net/assets/photos/natika-199-6884c200af615.jpeg;0;20423537;;Cristal;;12;GAZIN;131124;0;;;
Brinco;;BRINCO TRIO ARGOLAS CRAVEJADAS;155.1;155.1;;0;0;3.4;37.74;21/07/2025 21:37;Ouro;https://natika.semijoias.net/assets/photos/natika-164-6882d766aad5d.jpg;0;20580766;;;;12;TANK BRUTOS;BF10647;0;;;
Brinco;;TRIO CORAÇÃO COM STRASS;65.7;65.7;;1;0;3;14.86;21/07/2025 20:55;Ouro;https://natika.semijoias.net/assets/photos/natika-140-6883a53aeb6e8.jpeg;0;20681890;;;;12;BELLA BRUTOS ;B6590;0;;;
